n|rsc|name|format|dateCr|dateMo|id|size
357|covid-19|נתוני קורונה מאושפזים|XLSX|2020-05-20|2022-10-26|e4bf0ab8-ec88-4f9b-8669-f2cc78273edd|126159
357|covid-19|נתוני קורונה קבוצות מין וגיל - README|PDF|2020-05-25|2022-02-02|6ad74663-9f40-4bfc-9626-f22da3976355|503710
357|covid-19|נתוני קורונה קבוצות מין וגיל|CSV|2020-05-25|2022-11-23|89f61e3a-4866-4bbf-bcc1-9734e5fee58e|407432
357|covid-19|תחלואת קורונה בקרב צוות רפואי בבתי חולים README|PDF|2020-06-08|2021-03-03|6d4bf48e-4697-40b5-bf45-585b9c58387f|647183
357|covid-19|תחלואת קורונה בקרב צוות רפואי בבתי חולים|CSV|2020-06-08|2021-11-28|6253ce68-5f31-4381-bb4e-557260d5c9fc|17219
357|covid-19|נתוני קורונה נפטרים - README|PDF|2020-06-15|2021-10-27|259f4916-4d68-4e6e-be0c-e14bb061c921|682409
357|covid-19|נתוני קורונה נפטרים|CSV|2020-06-15|2022-08-03|a2b2fceb-3334-44eb-b7b5-9327a573ea2c|475104
357|covid-19|טבלת האוכלוסיה הצעירה - README|PDF|2020-07-29|2022-01-26|e5f8ddfa-91df-4214-ade3-304d7f1847f4|688548
357|covid-19|טבלת האוכלוסייה הצעירה |CSV|2020-07-29|2022-08-03|767ffb4e-a473-490d-be80-faac0d83cae7|224301
357|covid-19|טבלת ישובים|CSV|2020-10-14|2023-03-22|8a21d39d-91e3-40db-aca1-f73f7ab1df69|20828968
357|covid-19|טבלת ישובים - README|PDF|2020-10-18|2021-01-27|0995c344-6a7a-4557-99ff-28ee6f3149b3|715671
357|covid-19|גילאי המתחסנים|CSV|2021-01-18|2022-10-26|57410611-936c-49a6-ac3c-838171055b1f|177535
357|covid-19|גילאי המתחסנים - readme|PDF|2021-01-18|2022-02-02|93d0df92-8245-466f-8e96-99f2f3f2e4f9|505911
357|covid-19|מתחסנים על פי ישוב|CSV|2021-01-20|2022-08-03|12c9045c-1bf4-478a-a9e1-1e876cc2e182|37058816
357|covid-19|מתחסנים על פי ישוב - Readme|PDF|2021-01-20|2022-02-02|c70cff54-4e4c-47dc-b47c-7500f366319b|821899
357|covid-19|Readme אימותים לאחר חיסון|PDF|2021-04-14|2021-12-08|79ed0e90-9b41-4eef-9bd0-ee7a96311a64|676974
357|covid-19|אימותים לאחר החיסון|CSV|2021-04-14|2022-10-26|9b623a64-f7df-4d0c-9f57-09bd99a88880|61409
357|covid-19|תמותה ואישפוזים הקשורים לקורונה לאחר החיסון  - README|PDF|2021-05-13|2022-02-02|3ee10e2c-8772-4446-bc2e-5730a1ee1f06|709329
357|covid-19|תמותה ואשפוזים הקשורים לקורונה לאחר החיסון|CSV|2021-05-13|2022-10-26|8a51c65b-f95a-4fb8-bd97-65f47109f41f|88896
357|covid-19|קבוצות מחוסנים - README|PDF|2021-07-21|2021-07-21|5a8d0be7-196a-4d28-9423-45ee1a91823c|688932
357|covid-19|קבוצות מחוסנים |CSV|2021-07-21|2022-10-26|32150ead-89f2-461e-9cc3-f785e9e8608f|56928
357|covid-19|טבלת מאומתים - readme|PDF|2021-08-11|2022-03-30|dae44a9d-226e-4282-85c1-268e313e9c52|780641
357|covid-19|טבלת מאומתים|CSV|2021-08-11|2022-06-01|bd7b8fa9-7120-4e8d-933f-a1449dae8dad|25926
357|covid-19|README  - קבוצות מחוסנים חיסון שלישי|PDF|2021-12-08|2021-12-08|d12e00ae-e1fe-437e-be51-bd0319f6bb59|695875
357|covid-19|קבוצות מחוסנים חיסון שלישי|CSV|2021-12-08|2022-10-26|a2b5b4ee-467a-48f1-8799-a42fccf91651|29385
358|cpalist|רשימת רואי החשבון|CSV|2018-11-20|2023-03-24|7e86def9-0899-45f4-8942-d6fe38482b1a|3470422
